name,color
Liberty Ave & Stanwix St,#8E354A
S 27th St & Sidney St,#F8C3CD
Forbes Ave & Market Square,#B55D4C
21st St & Penn Ave,#994639
10th St & Penn Ave,#86473F
Isabella St & Federal St,#CB1B45
North Shore Trail & Ft Duquesne Bridge,#9F353A
S 12th St & E Carson St,#D05A6E
S 18th St & Sidney St,#F19483
42nd St & Butler St,#B55D4C
17th St & Penn Ave,#B54434
S 22nd St & E Carson St,#D75455
Ivy St & Walnut St,#ECB88A
Fifth Ave & S Bouquet St,#DB8E71
37th St & Butler St,#CC543A
Boulevard of the Allies & Parkview Ave,#FAD689
Fort Duquesne Blvd & 7th,#BF6766
First Ave & Smithfield St,#D05A6E
Schenley Dr at Schenley Plaza,#DAC9A6
Fifth Ave & S Dithridge St,#DDA52D
Frew St & Schenley Dr,#DCB879
First Ave & B St,#B5495B
Federal St & E North Ave,#F17C67
S 25th St & E Carson St,#F19483
Ross St & Sixth Ave,#F8C3CD
Ellsworth Ave & N Neville St,#D7B98E
Liberty Ave & Baum Blvd,#E16B8C
42nd St & Penn Ave,#F75C2F
12th St & Penn Ave,#9E7A7A
Third Ave & Wood St,#B5495B
Forbes Ave & Grant St,#DC9FB4
Bigelow Blvd & Fifth Ave,#B47157
Penn Ave & Putnam St,#FB966E
Alder St & S Higland Ave,#F0A986
Zulema St & Coltart Ave,#E87A90
S Negley Ave & Baum Blvd,#B5495B
Penn Ave & S Whitfield St,#E87A90
Atwood St & Bates,#D9CD90
Walnut St & College St,#E98B2A
Coltart Ave & Forbes Ave,#EEA9A9
Liberty Ave & S Millvale,#F4A7B9
Taylor St & Liberty Ave,#B35C37
Stevenson St & Forbes Ave,#F596AA
Ridge Ave & Brighton Rd,#CB4042
Maryland Ave & Ellsworth Ave,#E1A679
Penn Ave & N Fairmount St,#EB7A77
Centre Ave & PPG Paints Arena,#D0104C
Shady Ave & Ellsworth Ave,#DC9FB4
S Euclid Ave & Centre Ave,#E3916E
Centre Ave & Kirkpatrick St,#FB966E
