name,color
S 27th St & Sidney St.,#F8C3CD
Liberty Ave & Stanwix St,#8E354A
Fifth Ave & S Bouquet St,#DB8E71
Boulevard of the Allies & Parkview Ave,#FAD689
Forbes Ave & Market Square,#B55D4C
S 12th St & E Carson St,#D05A6E
Frew St & Schenley Dr,#DCB879
21st St & Penn Ave,#994639
10th St & Penn Ave,#86473F
Schenley Dr at Schenley Plaza,#DAC9A6
North Shore Trail & Ft Duquesne Bridge,#9F353A
Bigelow Blvd & Fifth Ave,#B47157
S 22nd St & E Carson St,#D75455
17th St & Penn Ave,#B54434
Atwood St & Bates,#D9CD90
Penn Ave & Putnam St,#FB966E
S 18th St & Sidney St,#F19483
Alder St & S Higland Ave,#F0A986
First Ave & B St,#B5495B
Isabella St & Federal St,#CB1B45
First Ave & Smithfield St,#D05A6E
Federal St & E North Ave,#F17C67
Ross St & Sixth Ave,#F8C3CD
42nd St & Butler St,#B55D4C
42nd St & Penn Ave,#F75C2F
Ivy St & Walnut St,#ECB88A
Ellsworth Ave & N Neville St,#D7B98E
S Negley Ave & Baum Blvd,#B5495B
Zulema St & Coltart Ave,#E87A90
Forbes Ave & Grant St,#DC9FB4
37th St & Butler St,#CC543A
Liberty Ave & S Millvale,#F4A7B9
Fifth Ave & S Dithridge St,#DDA52D
S 25th St & E Carson St,#F19483
Liberty Ave & Baum Blvd,#E16B8C
Third Ave & Wood St,#B5495B
Stevenson St & Forbes Ave,#F596AA
Taylor St & Liberty Ave,#B35C37
Maryland Ave & Ellsworth Ave,#E1A679
Coltart Ave & Forbes Ave,#EEA9A9
Walnut St & College St,#E98B2A
12th St & Penn Ave,#9E7A7A
Penn Ave & S Whitfield St,#E87A90
Fort Duquesne Blvd & 7th,#BF6766
Penn Ave & N Fairmount St,#EB7A77
Centre Ave & PPG Paints Arena,#D0104C
Ridge Ave & Brighton Rd,#CB4042
Shady Ave & Ellsworth Ave,#DC9FB4
S Euclid Ave & Centre Ave,#E3916E
Centre Ave & Kirkpatrick St,#FB966E
