name,color
Forbes Ave & Market Square,#B55D4C
S 27th St & Sidney St,#F8C3CD
10th St & Penn Ave,#86473F
Liberty Ave & Stanwix St,#8E354A
21st St & Penn Ave,#994639
Isabella St & Federal St,#CB1B45
North Shore Trail & Ft Duquesne Bridge,#9F353A
S 12th St & E Carson St,#D05A6E
Fifth Ave & S Bouquet St,#DB8E71
42nd St & Butler St,#B55D4C
Ivy St & Walnut St,#ECB88A
17th St & Penn Ave,#B54434
S 18th St & Sidney St,#F19483
37th St & Butler St,#CC543A
Fort Duquesne Blvd & 7th,#BF6766
Schenley Dr at Schenley Plaza,#DAC9A6
Federal St & E North Ave,#F17C67
First Ave & B St,#B5495B
Ross St & Sixth Ave,#F8C3CD
S 25th St & E Carson St,#F19483
Forbes Ave & Grant St,#DC9FB4
S 22nd St & E Carson St,#D75455
12th St & Penn Ave,#9E7A7A
Bigelow Blvd & Fifth Ave,#B47157
Alder St & S Higland Ave,#F0A986
Third Ave & Wood St,#B5495B
Ellsworth Ave & N Neville St,#D7B98E
Liberty Ave & Baum Blvd,#E16B8C
First Ave & Smithfield St,#D05A6E
Boulevard of the Allies & Parkview Ave,#FAD689
Stevenson St & Forbes Ave,#F596AA
Fifth Ave & S Dithridge St,#DDA52D
Atwood St & Bates,#D9CD90
Ridge Ave & Brighton Rd,#CB4042
Taylor St & Liberty Ave,#B35C37
Walnut St & College St,#E98B2A
Penn Ave & Putnam St,#FB966E
Liberty Ave & S Millvale,#F4A7B9
42nd St & Penn Ave,#F75C2F
S Negley Ave & Baum Blvd,#B5495B
Zulema St & Coltart Ave,#E87A90
Maryland Ave & Ellsworth Ave,#E1A679
Penn Ave & S Whitfield St,#E87A90
Coltart Ave & Forbes Ave,#EEA9A9
Penn Ave & N Fairmount St,#EB7A77
Centre Ave & PPG Paints Arena,#D0104C
S Euclid Ave & Centre Ave,#E3916E
Shady Ave & Ellsworth Ave,#DC9FB4
Frew St & Schenley Dr,#DCB879
Centre Ave & Kirkpatrick St,#FB966E
